iter	RMSE
0	5.297716525
1	5.135760936
2	4.989522532
3	4.818723406
4	4.697205358
5	4.5216102
6	4.383173551
7	4.302200916
8	4.15898438
9	4.031752615
10	3.90878436
11	3.844754323
12	3.80780306
13	3.722838548
14	3.642800813
15	3.595645498
16	3.534625822
17	3.45160533
18	3.355200643
19	3.278152834
20	3.22208841
21	3.167450211
22	3.112262517
23	3.048741756
24	3.002860825
25	2.954274679
26	2.893923733
27	2.833574937
28	2.78441308
29	2.746466231
30	2.722219655
31	2.679179846
32	2.633951717
33	2.598077852
34	2.564584445
35	2.527713454
36	2.504041706
37	2.477899283
38	2.44091095
39	2.40779568
40	2.382632735
41	2.368864432
42	2.356092576
43	2.330479831
44	2.313658887
45	2.296195436
46	2.268948389
47	2.245047794
48	2.230329113
49	2.214197927
50	2.195845702
51	2.182499878
52	2.155142861
53	2.133615661
54	2.121061625
55	2.101630158
56	2.093327413
57	2.081228675
58	2.0631154
59	2.040001875
60	2.0343788
61	2.025463853
62	2.010342485
63	1.98654221
64	1.973336384
65	1.959277071
66	1.934274826
67	1.909445224
68	1.898147319
69	1.878045718
70	1.854631137
71	1.845556442
72	1.831313121
73	1.812078573
74	1.804446995
75	1.792388218
76	1.785589763
77	1.780641665
78	1.761463676
79	1.753919716
80	1.747370366
81	1.732394701
82	1.720115067
83	1.70223727
84	1.694618621
85	1.687634537
86	1.671311913
87	1.657934978
88	1.651254203
89	1.630751988
90	1.620901107
91	1.610446826
92	1.597760325
93	1.595975391
94	1.585465477
95	1.581742762
96	1.578489809
97	1.563268102
98	1.546471549
99	1.540800583
100	1.521957974
101	1.518430305
102	1.506666034
103	1.50489284
104	1.496156086
105	1.487099688
106	1.480534145
107	1.468503579
108	1.467369764
109	1.45737152
110	1.453300366
111	1.447276527
112	1.437474073
113	1.434851604
114	1.426306464
115	1.423717003
116	1.420414093
117	1.414536814
118	1.403209749
119	1.395829275
120	1.385265334
121	1.377268827
122	1.373838971
123	1.372563155
124	1.36544971
125	1.364427156
126	1.359574766
127	1.354932264
128	1.351284189
129	1.344391246
130	1.343722946
131	1.337070264
132	1.330891775
133	1.330244904
134	1.319961196
135	1.314683531
136	1.314062421
137	1.305780988
138	1.298666674
139	1.293010941
140	1.292226342
141	1.288831677
142	1.281003104
143	1.275840453
144	1.27337762
145	1.26834406
146	1.267054754
147	1.260698891
148	1.253713788
149	1.252852626
150	1.247017404
151	1.243174513
152	1.239682898
153	1.235872876
154	1.232301037
155	1.228573557
156	1.226826956
157	1.214308855
158	1.211738155
159	1.20855684
160	1.206747539
161	1.203993257
162	1.19277525
163	1.184111804
164	1.18032996
165	1.174697735
166	1.172062402
167	1.165246608
168	1.160846909
169	1.154854441
170	1.152337028
171	1.147037652
172	1.143883464
173	1.141104258
174	1.139209566
175	1.134628122
176	1.134437221
177	1.125555234
178	1.125230816
179	1.124909493
180	1.122631918
181	1.12003573
182	1.114236481
183	1.11102718
184	1.108266907
185	1.104590784
186	1.101867268
187	1.0977917
188	1.095628403
189	1.089961062
190	1.08649904
191	1.086197363
192	1.084030303
193	1.081892734
194	1.077626319
195	1.07722386
196	1.074276927
197	1.073711169
198	1.070162934
199	1.067677244
200	1.063673371
201	1.060432945
202	1.060171384
203	1.057977624
204	1.052674689
205	1.050241748
206	1.04791444
207	1.044316529
208	1.041250787
209	1.037956009
210	1.035305821
211	1.033971997
212	1.029894873
213	1.02852257
214	1.027179041
215	1.024431703
216	1.024218675
217	1.022059147
218	1.020077318
219	1.018146769
220	1.016170454
221	1.014485629
222	1.014200388
223	1.013317816
224	1.013146509
225	1.012125413
226	1.009335618
227	1.006405233
228	1.002159654
229	1.001043396
230	0.998880832
231	0.9978732432
232	0.9961686483
233	0.9946846562
234	0.9936297976
235	0.9923477257
236	0.9905646975
237	0.9872695389
238	0.9866282332
239	0.9839902425
240	0.9812409793
241	0.9799879769
242	0.9776876748
243	0.9754516727
244	0.9732365459
245	0.9731621049
246	0.9708195037
247	0.9675852708
248	0.9671561654
249	0.9659911372
250	0.9658625531
251	0.9629154502
252	0.9617178679
253	0.9615748133
254	0.9613490231
255	0.9578226125
256	0.9572519623
257	0.9556335276
258	0.9555316383
259	0.9528514065
260	0.9511795894
261	0.9505365369
262	0.9491291081
263	0.9467602147
264	0.9444979016
265	0.9426349417
266	0.9416612959
267	0.9406489516
268	0.9405626476
269	0.9387448225
270	0.9377824873
271	0.9364358242
272	0.9354212499
273	0.9353375725
274	0.9340275515
275	0.9330327443
276	0.9329673783
277	0.9320402849
278	0.929138437
279	0.9280656849
280	0.9269798926
281	0.9255430395
282	0.9244960637
283	0.9217512518
284	0.919144833
285	0.9169215264
286	0.9157103426
287	0.913708317
288	0.9126370244
289	0.9109969632
290	0.9102659119
291	0.9090690934
292	0.9063759969
293	0.9063117428
294	0.9044442413
295	0.9043798165
296	0.9037462331
297	0.9021666151
298	0.9011116834
299	0.8995438332
300	0.8981252479
301	0.8970335504
302	0.8947017
303	0.8940590948
304	0.8919297979
305	0.8912628552
306	0.8902590446
307	0.8893050966
308	0.8884319276
309	0.8877788128
310	0.8877456708
311	0.8876763793
312	0.8863449302
313	0.8843540314
314	0.8833753883
315	0.8821139129
316	0.8811522829
317	0.8797277481
318	0.8784999671
319	0.877551724
320	0.8748554554
321	0.8736531226
322	0.872300329
323	0.8706830155
324	0.8686636013
325	0.8667960201
326	0.8651973467
327	0.8646198391
328	0.8635804359
329	0.8632220465
330	0.8625951528
331	0.8610268263
332	0.8591259593
333	0.8582678459
334	0.8577943123
335	0.857296004
336	0.8567854731
337	0.8559072501
338	0.8547812505
339	0.8540736734
340	0.8532519994
341	0.8525378092
342	0.8522369344
343	0.8514898304
344	0.8507144923
345	0.8500929511
346	0.8489113516
347	0.8481317557
348	0.847315538
349	0.8467002766
350	0.8455490145
351	0.8442605894
352	0.8432058318
353	0.8420966811
354	0.841678133
355	0.8403103925
356	0.8394833669
357	0.8390173813
358	0.8376267967
359	0.83675059
360	0.8363312738
361	0.8357577669
362	0.8354435513
363	0.8347498365
364	0.8330369284
365	0.8320043245
366	0.8315175269
