iter	Passed	Remaining
0	5	250
1	9	230
2	15	236
3	19	228
4	24	219
5	29	214
6	34	210
7	38	204
8	44	200
9	48	194
10	53	189
11	58	185
12	63	181
13	66	170
14	70	164
15	75	160
16	80	156
17	85	151
18	90	148
19	95	143
20	100	138
21	104	133
22	110	129
23	115	124
24	120	120
25	124	115
26	129	110
27	134	105
28	139	101
29	140	93
30	145	89
31	149	84
32	150	77
33	152	71
34	156	67
35	157	61
36	161	56
37	166	52
38	171	48
39	176	44
40	181	39
41	186	35
42	190	31
43	195	26
44	200	22
45	204	17
46	209	13
47	214	8
48	219	4
49	224	0
