Temperaing Temperature,C,Cr,Mo,Fatigue Strength (10E7 Cycles),Tensile Strength,Fracture Strength,Hardness
550,0.35,0.01,0,397,736,1482,235
550,0.35,0.1,0,419,736,1492,249
550,0.34,0.02,0,401,690,1484,239
550,0.36,0.12,0,394,790,1440,261
550,0.33,0.03,0,426,720,1435,230
550,0.38,0.09,0,426,830,1442,262
550,0.33,0.1,0,454,778,1568,258
550,0.32,0.02,0,418,748,1478,248
550,0.37,0.11,0,416,763,1537,251
550,0.35,0.01,0,395,722,1427,227
550,0.37,0.02,0,433,776,1495,246
550,0.32,0.1,0,379,715,1416,234
600,0.35,0.01,0,382,678,1438,218
600,0.35,0.1,0,385,699,1484,231
600,0.34,0.02,0,365,654,1451,218
600,0.36,0.12,0,379,738,1438,244
600,0.33,0.03,0,377,682,1429,218
600,0.38,0.09,0,394,720,1427,244
600,0.33,0.1,0,425,721,1502,237
600,0.32,0.02,0,395,688,1401,226
600,0.37,0.11,0,393,705,1479,230
600,0.35,0.01,0,375,681,1419,217
600,0.37,0.02,0,389,721,1462,226
600,0.32,0.1,0,358,672,1412,217
650,0.35,0.01,0,344,635,1384,201
650,0.35,0.1,0,369,652,1457,208
650,0.34,0.02,0,325,613,1370,203
650,0.36,0.12,0,338,667,1412,219
650,0.33,0.03,0,362,651,1377,207
650,0.38,0.09,0,361,701,1418,221
650,0.33,0.1,0,385,667,1487,215
650,0.32,0.02,0,348,638,1358,202
650,0.37,0.11,0,368,659,1450,212
650,0.35,0.01,0,341,631,1395,201
650,0.37,0.02,0,365,665,1395,206
650,0.32,0.1,0,325,616,1370,195
550,0.45,0.13,0,513,923,1617,297
550,0.45,0.11,0,448,801,1534,271
550,0.45,0.06,0,465,874,1510,289
550,0.44,0.02,0,446,809,1481,258
550,0.42,0.02,0,437,766,1480,254
550,0.48,0.1,0,502,929,1627,298
550,0.47,0.04,0,465,882,1554,281
550,0.43,0.12,0,475,843,1598,278
550,0.49,0.09,0,504,910,1587,298
550,0.45,0.04,0,486,925,1544,301
550,0.42,0.1,0,452,819,1477,255
600,0.45,0.13,0,459,828,1540,266
600,0.45,0.11,0,415,748,1486,245
600,0.45,0.06,0,437,812,1503,260
600,0.44,0.02,0,415,760,1465,239
600,0.42,0.02,0,401,717,1439,232
600,0.48,0.1,0,463,833,1573,269
600,0.47,0.04,0,442,806,1523,256
600,0.43,0.12,0,438,774,1539,255
600,0.49,0.09,0,468,833,1518,272
600,0.45,0.04,0,452,811,1488,268
600,0.42,0.1,0,422,765,1486,237
650,0.45,0.13,0,413,735,1485,240
650,0.45,0.11,0,395,696,1445,233
650,0.45,0.06,0,398,736,1471,237
650,0.44,0.02,0,378,696,1424,219
650,0.42,0.02,0,372,669,1373,215
650,0.48,0.1,0,415,738,1496,237
650,0.47,0.04,0,396,741,1489,235
650,0.43,0.12,0,388,706,1476,230
650,0.49,0.09,0,415,744,1449,245
650,0.45,0.04,0,398,723,1451,236
650,0.42,0.1,0,382,706,1465,220
550,0.55,0.09,0,523,962,1603,309
550,0.54,0.12,0,534,956,1614,308
550,0.52,0.04,0,489,906,1574,290
550,0.56,0.13,0,500,967,1583,317
550,0.54,0.01,0,495,896,1537,280
550,0.57,0.12,0,522,957,1638,314
550,0.53,0.12,0,531,957,1626,306
550,0.57,0.1,0,533,985,1640,319
550,0.56,0.1,0,492,918,1517,291
550,0.52,0.1,0,505,929,1619,307
550,0.54,0.1,0,541,1006,1542,325
600,0.55,0.09,0,468,854,1518,276
600,0.54,0.12,0,459,848,1521,275
600,0.52,0.04,0,444,823,1512,261
600,0.56,0.13,0,458,860,1468,283
600,0.54,0.01,0,445,830,1512,259
600,0.57,0.12,0,464,844,1538,281
600,0.53,0.12,0,466,850,1514,276
600,0.57,0.1,0,486,870,1520,282
600,0.56,0.1,0,461,840,1479,266
600,0.52,0.1,0,464,837,1535,277
600,0.54,0.1,0,475,893,1531,285
650,0.55,0.09,0,419,757,1440,248
650,0.54,0.12,0,418,766,1484,249
650,0.52,0.04,0,402,746,1446,235
650,0.56,0.13,0,398,777,1444,253
650,0.54,0.01,0,411,749,1417,234
650,0.57,0.12,0,428,757,1460,249
650,0.53,0.12,0,415,759,1465,250
650,0.57,0.1,0,425,777,1448,253
650,0.56,0.1,0,412,762,1428,242
650,0.52,0.1,0,410,742,1464,249
650,0.54,0.1,0,415,778,1441,249
550,0.43,1.12,0,582,1052,1756,328
550,0.42,0.96,0,524,1006,1745,328
550,0.4,1.1,0,583,1084,1775,343
550,0.42,1.06,0,569,1015,1779,320
550,0.39,0.98,0,536,1073,1735,344
550,0.42,1.09,0,577,1092,1777,344
550,0.42,0.94,0,565,1077,1720,345
550,0.4,1.09,0,562,1036,1760,324
600,0.43,1.12,0,522,969,1665,299
600,0.42,0.96,0,504,902,1638,297
600,0.4,1.1,0,516,979,1667,318
600,0.42,1.06,0,517,935,1656,296
600,0.39,0.98,0,511,962,1650,305
600,0.42,1.09,0,518,985,1672,306
600,0.42,0.94,0,524,956,1679,312
600,0.4,1.09,0,503,949,1664,300
650,0.43,1.12,0,483,888,1671,277
650,0.42,0.96,0,457,862,1627,272
650,0.4,1.1,0,482,869,1627,277
650,0.42,1.06,0,470,857,1647,272
