Gp1,Hfd,Tb1,Wd,VEC1,sVEC,Phase Formation
8.8752,0.679182703,3445.6428,0.070340604,6.5712,1.9616,BMG
8.13,0.145648798,3626.35,0.077902486,7.43,1.5,BMG
9.257,0.684758056,3384.046,0.015644982,6.782,1.990000001,BMG
8.712,1.021033202,3587.882,0.071216889,6.612,1.710000002,BMG
4.052,0.3776916,2182.074,0.167513035,4.052,2.000000002,BMG
7.83,0.14360972,3700.66,0.0786698,7.23,1.529999998,BMG
6.78,0.142105306,3947.97,0.088657141,5.78,1.799999999,BMG
4.35,0.151932057,1909.45,0.136591605,4.35,1.750000002,BMG
8.29,0.622760467,3598.95,0.046775123,6.79,1.950000002,BMG
8.84,0.695011065,3399.81,0.082168957,6.64,1.999999998,BMG
6.8,0.197843157,2767.3,0.230263974,4.3,2,BMG
5.75,0.432580707,3474.08,0.160005726,4.35,1.910000001,BMG
6.6,0.236707197,3278.27,0.222951409,4.2,1.999999999,BMG
8.06,0.154297846,3546.89,0.076867301,8.06,1.42,BMG
4.7,0.201506427,1991.9,0.243302651,4.7,1.700000002,BMG
6.6,0.153986567,3151.27,0.149762096,4.2,1.999999999,BMG
3.8,0.188487245,1933.35,0.249613792,3.8,1.800000002,BMG
6.1633,0.124975154,4151.9617,0.087452337,5.4633,1.8467,BMG
5.26,0.169155498,2084.48,0.13725884,5.26,1.65,BMG
9.37,1.095087319,3087.58,0.034535591,7.37,1.959999998,BMG
6.6097,0.138546728,4050.8523,0.09251748,5.6097,1.842500002,BMG
9.176,0.672530469,3401.758,0.024566011,6.776,1.959999998,BMG
3.65,0.107387529,1558.7,0.139255315,3.65,1.825,BMG
11.25,0.553600068,3075.1,0.026218762,8.75,1.4,BMG
7.5,0.128547579,3758.65,0.08045977,7.5,1.5,BMG
6.7529,0.147034679,3975.3821,0.072384661,5.7629,1.762300001,BMG
3.48,0.289636611,1876.34,0.158164291,3.48,1.979999999,BMG
8.24,0.322921038,3688.5,0.13625001,7.34,1.510000001,BMG
6.71,0.145100337,3990.94,0.072112564,5.71,1.770000001,BMG
9.3,1.240022739,2987.975,0.043957278,7.3,1.950000002,BMG
4.575,0.141953107,3767.96,0.115546334,4.575,1.924999999,BMG
9.229,1.261748899,3098.754,0.042998098,7.229,1.940000002,BMG
8.82,1.060623209,3629.31,0.068717429,6.72,1.859999998,BMG
6.9,0.333441944,3284.8,0.147840561,5.4,1.700000001,BMG
7.95,0.149171959,3644.15,0.078075604,7.45,1.500000001,BMG
6.7,0.418995397,3393.5,0.138325452,4.2,1.999999999,BMG
7.8,0.198843591,3694.03,0.084637258,7,1.560000001,BMG
3.6,0.326281672,1767.3,0.161528299,3.6,1.599999998,BMG
7.75,0.156443269,3592.93,0.117483654,7.05,1.539999998,BMG
8.59,1.052073487,3599.12,0.060915226,6.49,1.709999997,BMG
7.57,0.12447747,3650.42,0.07852148,7.57,1.489999996,BMG
8.04,0.393067442,3562.79,0.110669889,7.54,1.999999997,BMG
6.547,0.137452787,4067.4005,0.092257674,5.547,1.851499998,BMG
9.27,1.110827502,3080.98,0.034787168,7.27,1.959999997,BMG
8.11,0.341667604,3606.64,0.108414765,7.61,1.929999998,BMG
9.07,1.164789662,3218.63,0.045514273,6.87,1.85,BMG
9.325,0.630496317,3501.54,0.04799614,7.025,1.940000003,BMG
9.395,1.172745011,2998.475,0.034354994,7.095,2,BMG
7.8,0.161825151,3703.91,0.092050397,7,1.560000001,BMG
6.7,0.147575484,2984.3,0.21589561,4.2,1.999999999,BMG
9.63,1.253881426,2887.46,0.03951847,7.13,2.000000001,BMG
8.59,1.039319463,3607.55,0.065528929,6.49,1.709999997,BMG
8.941,0.698711513,3130.257,0.020628506,7.341,1.993,BMG
6.35,0.117784262,4117.42,0.106630365,5.55,1.930000001,BMG
8.815,1.059009219,3616.175,0.050498981,6.715,1.819999998,BMG
7.3,0.1101432,3390.05,0.086597074,7.3,1.300000002,BMG
12.18,0.176189798,2870.99,0.08205411,3.48,2.000000001,BMG
4.155,0.135332263,3635.725,0.105614409,3.955,1.925000001,BMG
4.35,0.174531564,1955.75,0.131998741,4.35,1.750000002,BMG
7.029,0.141458642,3888.021,0.099436934,6.029,1.820999998,BMG
4.052,0.375677662,2181.434,0.167983784,4.052,2.000000002,BMG
11.3,0.498363863,2574.25,0.033974313,9.3,0.900000004,BMG
6.95,0.395127739,3356.3,0.148559616,4.45,1.899999999,BMG
9.42,1.326865369,3053.35,0.042020646,7.02,1.950000002,BMG
8.78,0.694962905,3425.13,0.082099977,6.58,2.000000001,BMG
4.3,0.219231142,1949.5,0.141860861,4.3,1.699999999,BMG
8.94675,1.056914485,3628.938,0.053061313,6.84675,1.859999998,BMG
8.688,1.10046532,3483.9712,0.068432183,6.626,1.813800001,BMG
5.73,0.436548346,3475.828,0.161803252,4.41,1.905999998,BMG
8.475,0.189951578,3509.875,0.07602123,7.975,1.425000003,BMG
6.6,0.164175986,3331.27,0.183999032,4.2,1.999999999,BMG
8.2,0.220801045,3481.15,0.0951728,8.2,1.399999997,BMG
11.27,0.497090616,2586.28,0.032819007,9.27,0.870000003,BMG
4.5,0.068216708,1573.5,0.216273948,4.5,1.999999998,BMG
8.52,1.047004149,3602.93,0.065370285,6.42,1.709999999,BMG
8.77,1.040701159,3612.99,0.064906544,6.57,1.840000001,BMG
8.025,0.28999291,3505.175,0.121176831,8.025,1.424999996,BMG
8.8752,0.676960027,3436.2716,0.083647033,6.5712,1.9616,BMG
7.105,0.412898568,3317.46,0.10150933,6.055,1.850000002,BMG
9.7805,1.247420147,2983.0445,0.042702083,6.7805,1.999999998,BMG
8.724,0.689641869,3443.8496,0.082136108,6.568,1.999999999,BMG
4.35,0.199333444,1929.55,0.131998741,4.35,1.750000002,BMG
6.15,0.123527472,4163.22,0.093151928,5.35,1.89,BMG
8.737625,1.073465232,3514.49741,0.078147129,6.600175,1.824669999,BMG
10.52,0.489515341,2675.07,0.033476341,8.52,0.88,BMG
4.63,0.175647371,2015.44,0.139530416,4.63,1.720000001,BMG
4.565,0.176318015,1964.42,0.13690722,4.565,1.725,BMG
4.35,0.174226337,1954.49,0.134915611,4.35,1.750000002,BMG
10.12,0.545161559,3727.32,0.02762608,6.62,2.000000002,BMG
8.64,1.031353475,3640.75,0.048970798,6.44,1.679999999,BMG
10.72,0.544652639,3261.92,0.017217579,9.07,0.389999996,BMG
6.9,0.142563235,3918.05,0.092457308,5.9,1.800000001,BMG
7.85,0.199884872,3868.3,0.106722699,7.85,1.749999998,BMG
5.72,0.386005257,3448.654,0.172315837,4.72,1.799999999,BMG
8.008,0.304538429,3547.93,0.114512525,8.008,1.376000001,BMG
10.7,0.541882444,3260.41,0.017157056,9.1,0.380000002,BMG
8.941,0.607494423,2916.741,0.047072369,7.241,1.875499998,BMG
8.2,0.286762552,3454.15,0.117752531,8.2,1.399999997,BMG
9.56,0.618752542,3462.046,0.023365922,7.16,1.960000002,BMG
6.5,0.198910448,2206.712,0.216311731,6.5,1.500000002,BMG
3.5875,0.329580914,1723.6125,0.175034119,3.5875,1.624999998,BMG
6.988,0.142697479,3891.824,0.095194822,5.988,1.802000002,BMG
7.54,0.12088769,3628.462,0.118948742,6.54,2.000000003,BMG
6.7,0.168239387,2560.8,0.222685355,4.2,1.999999999,BMG
10.76,0.541745346,3293.53,0.011836495,8.86,0.380000004,BMG
4.052,0.376685796,2181.754,0.167748595,4.052,2.000000002,BMG
10.8,0.544853245,3296.55,0.012072435,8.8,0.399999996,BMG
8.978625,1.058559124,3626.673,0.043059927,6.878625,1.859999997,BMG
8.2,0.121430223,3461.75,0.0749014,8.2,1.399999997,BMG
8.67,1.094147239,3482.493,0.070446959,6.865,1.819499998,BMG
4.63,0.168266837,1999.97,0.136007239,4.63,1.720000001,BMG
8.136,0.293687978,3485.41,0.116687137,8.136,1.391999997,BMG
7.8,0.15994414,3686.27,0.077038299,7,1.560000001,BMG
8.04,0.152621756,3621.25,0.077588261,7.44,1.499999998,BMG
11,0.476759996,2667.55,0.010605676,9,1.680000003,BMG
9.575997,1.304452466,3055.822435,0.04689571,7.047977,2,BMG
3.275,0.309858636,1652.05,0.160678737,3.275,1.699999998,BMG
8.69,0.660258489,3513.47,0.042605212,6.69,1.980000003,BMG
3.675,0.332804089,1745.7,0.172374836,3.675,1.600000001,BMG
3.675,0.111037766,1561.35,0.150520608,3.675,1.824999998,BMG
8.61,1.05811956,3601.12,0.061858322,6.51,1.71,BMG
6.7,0.249387695,2706.3,0.201259104,3.4,1.199999998,BMG
3.8,0.333883607,1814.125,0.166327807,3.8,1.550000001,BMG
8.9,0.69075737,3399.77,0.085989672,6.7,2.000000002,BMG
9.67,1.295404554,2962.45,0.042899943,6.87,1.999999999,BMG
9.08,0.673443929,3437.0764,0.041995114,6.68,1.960000002,BMG
5.612,0.42602293,3446.518,0.242468319,4.612,1.800000001,BMG
8,0.241631444,3989.95,0.097021366,8,1.7,BMG
8.04,0.417988235,3534.4,0.112652904,6.79,1.950000002,BMG
5.6,0.632634019,3547.7,0.260869504,4.6,1.85,BMG
5.858,0.352007206,3328.352,0.146348335,4.878,1.76,BMG
6.66,0.249774896,3356.14,0.085219902,4.26,1.989999999,BMG
9.32,1.181506175,2995.83,0.036401689,7.12,1.980000003,BMG
4.325,0.244663345,1877.75,0.144446664,4.325,1.875000002,BMG
3.8,0.183050775,1854.55,0.227583947,3.8,1.800000002,BMG
5.24,0.162842843,2024.49,0.137363376,5.24,1.649999999,BMG
7.257,0.151717332,3861.699,0.089767408,6.267,1.703000001,BMG
7.93,0.305713126,3332.78,0.078658721,7.83,1.470000003,BMG
8.15,0.230298443,3780.38,0.110061096,7.75,1.93,BMG
7.2164,0.126529432,3361.4616,0.081594026,7.0164,1.629600002,BMG
11.325,0.499310582,2565.475,0.03424633,9.325,0.874999999,BMG
11,0.476862137,2691.55,0.012000592,9,0.72,BMG
4.783,0.138966915,3741.627,0.113610789,4.783,1.906999998,BMG
8.3,0.621528941,3599.61,0.046815895,6.8,1.950000001,BMG
11.272,0.537621609,3066.528,0.047682214,9.022,1.277999997,BMG
6.18,0.380625627,3452.71,0.284515192,5.18,1.839999999,BMG
7.94,0.160301151,3647.89,0.076981299,7.14,1.540000004,BMG
7.82,0.14996338,3668.04,0.092021667,7.12,1.540000001,BMG
6.805,0.42873147,3372.927,0.16823969,4.965,1.868999998,BMG
8.75,1.039295271,3611.09,0.06503799,6.55,1.83,BMG
7.27524,0.155922063,3839.28402,0.093157518,5.84524,1.811460001,BMG
4.12,0.237086949,3075.03,0.143618127,4.12,1.919999998,BMG
7.5,0.13746114,3738.65,0.079878848,7.5,1.5,BMG
4.35,0.152953515,1910.71,0.136833331,4.35,1.750000002,BMG
9.4,1.301179219,3086.81,0.042880162,7,1.930000002,BMG
4.9845,0.140288171,3706.1161,0.118850867,4.9845,1.877500001,BMG
4.25,0.197581685,1967.55,0.252552133,4.25,1.750000001,BMG
6,0.35044964,3424.45,0.142333827,4.6,1.800000001,BMG
8.941,0.435935054,2671.725,0.042673495,7.241,1.875499998,BMG
7.62,0.157893752,3704.21,0.076339889,6.82,1.620000001,BMG
9.192,0.648763392,3493.512,0.02429137,6.792,1.949999997,BMG
6.2,0.129951582,4145.67,0.083287362,5.4,1.840000001,BMG
6.18,0.088154125,3933.63,0.106908142,6.18,1.860000001,BMG
12.1,0.220750759,2886.99,0.108501974,3.7,2.000000002,BMG
4.325,0.244601173,1879.325,0.141679259,4.325,1.875000002,BMG
7.8,0.214101164,3697.91,0.088150009,7,1.560000001,BMG
8.68,0.685787487,3451.24,0.067446527,6.68,2.000000003,BMG
7.5,0.124630036,3674.5,0.078813401,7.5,1.5,BMG
7.8025,0.303147345,3843.4625,0.15029465,6.5025,1.7075,BMG
8.45,0.256852593,3811.45,0.09571848,7.95,1.650000002,BMG
6.505,0.131841782,4073.728,0.095907612,5.635,1.856000001,BMG
8.82,0.697521772,3398.49,0.082132065,6.62,2.000000002,BMG
6.6,0.197865442,3306.07,0.155927093,4.2,1.999999999,BMG
11.32,0.528147718,2926.05,0.05557489,9.22,1.304999999,BMG
7.84,0.149109256,3688.87,0.079736614,7.14,1.540000004,BMG
6.28,0.103809385,4141.99,0.115435633,5.48,2.000000002,BMG
9.38,1.24996244,2900.57,0.035940295,7.18,2,BMG
6.7,0.229209034,3348.84,0.193623626,4.2,1.999999999,BMG
8.71,0.654423955,3520.17,0.040235927,6.71,1.959999998,BMG
5.55,0.54261645,3498.05,0.266695722,4.05,1.999999998,BMG
4.825,0.132467454,3702.895,0.101331632,4.825,1.874999999,BMG
3.3,0.314751738,1835,0.151516643,3.3,2,BMG
7.1216,0.149081108,3867.3868,0.094255834,5.9216,1.806399997,BMG
4.25,0.199078314,1987.25,0.258574734,4.25,1.750000001,BMG
9.214,0.680424068,3400.542,0.01860929,6.764,1.980000003,BMG
9.17,1.126809687,3074.38,0.035005652,7.17,1.959999998,BMG
8.865,0.641064871,3522.235,0.048968586,6.865,1.960000001,BMG
8.984,0.676860435,3444.1612,0.064667238,6.584,1.96,BMG
4.99625,0.15462411,3719.1695,0.113820024,4.49625,1.92875,BMG
7.66,0.159911405,3723.21,0.076910564,6.86,1.580000002,BMG
6.7,0.220925032,3352.8,0.195158087,4.2,1.999999999,BMG
9.466,1.175346363,3131.985,0.041088357,6.816,1.931999998,BMG
6,0.322282773,2274.65,0.169125993,6,1.999999998,BMG
4.25,0.196062576,1947.85,0.245882381,4.25,1.750000001,BMG
6.6,0.25944733,3293.11,0.212866322,4.2,1.999999999,BMG
9.22,1.128822804,3066.35,0.036976904,7.12,1.949999996,BMG
6.14,0.426903947,3423.33,0.15831849,4.74,1.880000002,BMG
4,0.065164287,1572.8,0.20506419,4,2,BMG
9.4882821,1.288662625,3096.294696,0.046262338,7.0810961,2,BMG
6.175,0.349848575,3381,0.146645208,4.925,1.774999998,BMG
5.968,0.352308284,3342.642,0.146449717,4.888,1.759999998,BMG
11.25,0.496019717,2591.8,0.032967149,9.25,0.950000003,BMG
7.74,0.161751943,3710.33,0.082983266,6.94,1.500000003,BMG
6.5,0.200931775,2224.442,0.22779189,6.5,1.500000002,BMG
8.15,0.180650978,3667.45,0.110977585,7.65,1.899999999,BMG
7.78,0.148917281,3710.7,0.078174075,7.08,1.550000002,BMG
8.92,1.066132695,3621.93,0.040740039,6.82,1.860000002,BMG
8.325,0.626439205,3595.88,0.045884191,6.775,1.949999998,BMG
7.89,0.278404927,3319.38,0.080663044,7.79,1.509999999,BMG
4.35,0.153908475,1911.97,0.136330977,4.35,1.750000002,BMG
10.795,0.560222235,3073.225,0.016608638,9.045,0.385,BMG
4,0.339510934,1860.95,0.170397735,4,1.5,BMG
3.5,0.325675321,1701.525,0.177327953,3.5,1.649999999,BMG
8.538461538,0.149354587,3112.996154,0.075149667,7,1.769230771,BMG
7.8225,0.305405481,3846.2825,0.148382974,6.5225,1.6875,BMG
5.9,0.455281461,3421.75,0.248321622,4.9,1.800000001,BMG
9.24,1.143704129,3066.95,0.040165878,7.04,1.940000001,BMG
8.34,0.622423148,3525.14,0.081046898,6.84,1.930000002,BMG
4.35,0.308068826,1905.15,0.141962422,4.35,1.750000002,BMG
8.528,1.098725555,3503.8088,0.061169209,6.666,1.813800002,BMG
4.4465,0.174835435,1958.707,0.137392501,4.3465,1.752499998,BMG
8.21805,0.321808031,3625.027,0.078364723,7.37855,1.507500003,BMG
3.463,0.103401765,1536.4,0.136439965,3.463,1.845999998,BMG
7.67,0.160022263,4027.7375,0.103649698,6.17,1.899999999,BMG
9.2195,0.645694572,3513.092,0.025339337,6.7195,1.945000002,BMG
7.78,0.15791493,3686.7,0.077386022,7.08,1.550000002,BMG
9.1,1.012267365,3682.35,0.041638644,6.6,1.849999998,BMG
8.3,0.631981902,3552.39,0.064119842,6.7,1.929999997,BMG
8.12,0.307010305,3648.24,0.109452842,7.62,1.92,BMG
3.5,0.122788362,3508.35,0.104683325,3.5,1.95,BMG
9.255,1.258553294,3099.43,0.044111555,7.255,1.940000001,BMG
8.82,1.068812065,3616.05,0.070949122,6.72,1.859999998,BMG
7.57,0.132462181,3732.18,0.080089288,7.57,1.489999996,BMG
