xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
0.20,0.80,1.0152,0.0878,816
0.30,0.70,1.0095,0.0935,840
0.40,0.60,1.0036,0.0994,864
0.50,0.50,0.9975,0.1055,915
0.60,0.40,0.9916,0.1114,956
0.70,0.31,0.9858,0.1172,1015
0.80,0.20,0.9798,0.1232,1065
0.90,0.10,0.9737,0.1293,1101
0.00,1.00,1.0272,0.0758,768
0.10,0.90,1.0201,0.0841,803
0.20,0.80,1.0127,0.0927,840
0.25,0.75,1.0091,0.0969,864
0.30,0.70,1.0056,0.1009,922
0.40,0.60,0.9983,0.1094,990
0.05,0.95,1.0233,0.0756,755
0.10,0.90,1.0189,0.0753,736
0.13,0.87,1.0165,0.0752,725
0.15,0.85,1.0151,0.0751,707
0.17,0.83,1.0132,0.0750,705
0.20,0.80,1.0108,0.0748,682
0.25,0.75,1.0068,0.0746,643
0.50,0.50,0.9867,0.0733,493
0.52,0.48,0.9851,0.0732,493
0.54,0.46,0.9836,0.0731,470
0.56,0.44,0.9820,0.0730,447
0.58,0.42,0.9803,0.0729,447
0.60,0.40,0.9787,0.0728,430
0.00,1.00,1.0270,0.0759,768
0.05,0.95,1.0232,0.0765,768
0.10,0.90,1.0189,0.0773,757
0.15,0.85,1.0148,0.0779,742
0.20,0.80,1.0110,0.0786,723
0.25,0.75,1.0067,0.0793,696
0.15,0.85,1.0075,0.0750,821
0.20,0.80,1.0013,0.0748,834
0.30,0.70,0.9884,0.0743,837
0.34,0.66,0.9830,0.0741,820
0.15,0.85,1.0115,0.0774,800
0.25,0.75,1.0008,0.0786,769
0.30,0.70,0.9954,0.0791,753
0.36,0.64,0.9893,0.0798,722
0.40,0.60,0.9852,0.0802,694
0.10,0.90,1.0184,0.0850,795
0.15,0.85,1.0141,0.0896,809
0.20,0.80,1.0096,0.0944,817
0.25,0.75,1.0051,0.0990,809
0.30,0.70,1.0009,0.1035,775
0.05,0.95,1.0239,0.0771,779
0.10,0.90,1.0205,0.0783,788
0.15,0.85,1.0170,0.0796,793
0.36,0.64,1.0028,0.0849,796
0.50,0.50,0.9934,0.0884,796
0.55,0.45,0.9899,0.0897,776
0.58,0.42,0.9877,0.0905,751
0.60,0.40,0.9863,0.0910,741
0.05,0.95,1.0243,0.0770,772
0.10,0.90,1.0210,0.0783,773
0.15,0.85,1.0181,0.0794,772
0.20,0.80,1.0149,0.0807,763
0.30,0.70,1.0090,0.0830,738
0.40,0.60,1.0030,0.0853,746
0.50,0.50,0.9969,0.0877,700
0.60,0.40,0.9907,0.0902,680
0.10,0.90,1.0118,0.0744,837
0.15,0.85,1.0201,0.0759,757
0.20,0.80,1.0177,0.0759,768
0.39,0.61,0.9914,0.0791,750
0.37,0.63,0.9936,0.0789,743
0.34,0.66,0.9958,0.0787,759
0.32,0.68,0.9980,0.0785,762
0.30,0.70,1.0000,0.0783,767
0.18,0.82,1.0109,0.0773,795
0.33,0.68,1.0034,0.0798,573
0.30,0.70,1.0053,0.0795,610
0.25,0.75,1.0090,0.0789,663
0.20,0.80,1.0126,0.0783,702
0.15,0.85,1.0163,0.0777,723
0.10,0.90,1.0199,0.0770,747
0.05,0.95,1.0235,0.0764,768
0.00,1.00,1.0271,0.0758,764
0.55,0.45,0.9814,0.0952,703
0.50,0.50,0.9856,0.0935,698
0.47,0.53,0.9881,0.0924,701
0.45,0.55,0.9897,0.0917,713
0.05,0.95,1.0228,0.0800,774
0.10,0.90,1.0185,0.0841,773
0.15,0.85,1.0141,0.0883,788
0.20,0.80,1.0097,0.0925,803
0.45,0.55,0.9909,0.0736,516
0.40,0.60,0.9949,0.0738,518
0.35,0.65,0.9990,0.0741,519
0.30,0.70,1.0029,0.0743,563
0.25,0.75,1.0070,0.0746,635
0.20,0.80,1.0109,0.0748,670
0.17,0.83,1.0132,0.0750,689
0.15,0.85,1.0149,0.0751,704
0.13,0.87,1.0168,0.0752,720
0.10,0.90,1.0192,0.0753,743
0.05,0.95,1.0232,0.0756,756
0.55,0.45,0.9625,0.0774,652
0.53,0.47,0.9648,0.0774,667
0.50,0.50,0.9683,0.0773,687
0.05,0.95,1.0242,0.0773,764
0.10,0.90,1.0212,0.0787,747
0.15,0.85,1.0183,0.0802,744
0.20,0.80,1.0152,0.0817,725
0.25,0.75,1.0123,0.0831,684
0.05,0.95,1.0270,0.0764,733
0.10,0.90,1.0269,0.0769,728
0.15,0.85,1.0267,0.0775,723
0.10,0.90,1.0173,0.0828,782
0.20,0.80,1.0074,0.0897,763
0.30,0.70,0.9975,0.0967,671
0.20,0.80,1.0083,0.0779,735
0.35,0.65,0.9942,0.0794,629
0.40,0.60,0.9894,0.0799,582
0.35,0.65,0.9860,0.0769,743
0.33,0.67,0.9857,0.0774,762
0.31,0.69,0.9881,0.0772,784
0.28,0.72,0.9917,0.0769,804
0.35,0.65,0.9831,0.0773,749
0.33,0.67,0.9854,0.0770,759
0.30,0.70,0.9889,0.0767,773
0.37,0.63,0.9808,0.0775,741
0.31,0.69,0.9887,0.0776,776
0.27,0.73,0.9943,0.0780,778
0.31,0.69,0.9899,0.0784,750
0.35,0.65,0.9854,0.0789,728
0.37,0.63,0.9831,0.0791,718
0.25,0.75,1.0057,0.0771,798
0.40,0.60,0.9842,0.0839,728
0.20,0.80,1.0162,0.0890,898
