AN,ANd,XPd,K,Hmix,MLC
67,0.038920611,0.021200658,13.12,0,HCP
61,0.18459919,0.019743539,13.2,0,HCP
33.3030303,0.26841813,0.078178149,32.57878788,1.432506887,BCC
57.5,0.278396706,0.190916694,105.8,-6.5,BCC
52.75,0.411504337,0.19328137,78.975,-4.5,BCC
24.75,0.410429286,0.021028852,85.825,-16.25,BCC
25.25,0.41666585,0.140478087,122.65,-14,BCC
44.75,0.401729975,0.149280502,69.975,-3.25,BCC
40,0.516296911,0.155466769,62.025,-2.75,BCC
32,0.2972859,0.14368556,61.075,-2.75,BCC
36.25,0.227795097,0.185188977,59.075,-2.5,BCC
39.75,0.519048949,0.032333549,40.95,-0.25,BCC
56.5,0.283324081,0.0859766,39.225,3.5,BCC
51.75,0.419456111,0.073377933,31.275,1.75,BCC
44,0.417526661,0.067231599,38.95,2.5,BCC
31.5,0.286154863,0.076822128,32.25,-0.25,BCC
43.75,0.410912375,0.089904418,30.325,2.5,BCC
33.55882353,0.266053572,0.105383481,35.67941176,0.795847751,BCC
25.4,0.328545607,0.029435614,65.01,-10.96,BCC
30.57142857,0.296130458,0.141234533,46.91428571,-2.530612245,BCC
20.71428571,0.329161367,0.07235064,197.9857143,-8,BCC
34.02777778,0.261248723,0.137183616,41.36388889,-0.277777778,BCC
20.94117647,0.32407015,0.072284226,196.8382353,-7.76816609,BCC
41.5,0.471883278,0.076501054,30.6625,1.875,BCC
49.80838323,0.390422388,0.067466228,42.80778443,2.441902622,BCC
38.71428571,0.541359142,0.152621554,70.35714286,-5.66893424,BCC
36.02083333,0.234232304,0.187250925,65.52291667,-3.489583333,BCC
34.44736842,0.256444511,0.155856043,46.45,-1.135734072,BCC
55.41176471,0.318230624,0.192797068,100.8647059,-6.14532872,BCC
30.88235294,0.332062885,0.140971107,71.42352941,-6.256055363,BCC
38.17647059,0.549617189,0.031959338,52.48235294,-4.816608997,BCC
35.47058824,0.242349788,0.179877658,57.40588235,-2.602076125,BCC
35.76086957,0.238363771,0.184917267,62.37173913,-3.194706994,BCC
34.825,0.251718373,0.167877117,51.0275,-1.825,BCC
35.3255814,0.244867872,0.178869159,57.09534884,-2.617631152,BCC
32.23255814,0.282198108,0.125739891,39.62790698,-1.254732288,BCC
42.9,0.437017869,0.08125721,32.185,2.36,BCC
23.41666667,0.204587649,0.074484342,95.16041667,-9.322916667,BCC
22.61538462,0.237669688,0.073498859,106.0711538,-11.28698225,BCC
41.875,0.459575482,0.157788069,45.7375,-0.875,BCC
40,0.362068709,0.167089301,44.7,-0.25,BCC
21.83333333,0.291379155,0.072355885,139.7666667,-15.44444444,BCC
35,0.253412089,0.18095238,67.5,-3.666666667,BCC
31.83333333,0.288718653,0.152250316,49.61666667,-2.666666667,BCC
53.55555556,0.350444356,0.193931261,96.47777778,-5.827160494,BCC
36.77777778,0.576192416,0.031557758,62.73333333,-8.395061728,BCC
29.88888889,0.360498972,0.138365479,80.62222222,-8.987654321,BCC
34.77777778,0.253867994,0.174998285,55.92222222,-2.666666667,BCC
32.66666667,0.279077435,0.142952852,44,-1.777777778,BCC
34.63157895,0.258418254,0.178859576,63.78947368,-3.471837488,BCC
36.47826087,0.583821812,0.147340789,84.84782609,-10.01890359,BCC
34.36363636,0.261837948,0.176620591,61.09090909,-3.305785124,BCC
32.63636364,0.281516256,0.158821101,51.33636364,-2.710743802,BCC
33.06382979,0.275745845,0.154720851,48,-2.209144409,BCC
34.0754717,0.265307349,0.173465579,58.18867925,-3.104307583,BCC
51.89473684,0.377292852,0.194498234,92.55263158,-5.540166205,BCC
29,0.384309573,0.135868916,88.85263158,-11.12465374,BCC
34.15789474,0.263099046,0.170495355,54.59473684,-2.703601108,BCC
23.87179487,0.220274539,0.066780264,117.3282051,-11.65548981,BCC
23.2,0.236716038,0.085526415,105.96,-26.4,BCC
50.6,0.392997495,0.18561882,90.78,-4.64,BCC
50.4,0.400105491,0.194629561,89.02,-5.28,BCC
34.4,0.620106587,0.030720098,80.16,-13.44,BCC
34.6,0.618416072,0.142544951,97.02,-12.96,BCC
28.4,0.398743315,0.131994639,108.86,-13.6,BCC
28.2,0.404566261,0.133479189,96.26,-12.8,BCC
46.6,0.493207561,0.185530082,67.56,-3.68,BCC
24.8,0.381171042,0.12995194,104.26,-12.16,BCC
40.2,0.459600256,0.143117733,60.36,-2.56,BCC
43.6,0.37731972,0.173235345,58.76,-1.76,BCC
49.8,0.397651206,0.198741902,52.62,-1.92,BCC
43.4,0.370846074,0.195179394,51.86,-1.6,BCC
49.6,0.400920831,0.081330099,35.76,2.72,BCC
23.94117647,0.2473735,0.068696054,119.0137255,-13.31795463,BCC
23.96078431,0.249584127,0.073144691,120.6666667,-12.13379469,BCC
23.23076923,0.243889402,0.067610954,121.3846154,-16.39053254,BCC
49.23809524,0.39550278,0.127407202,40.62857143,1.560090703,BCC
23.85714286,0.228593027,0.067548731,133.6857143,-9.941043084,BCC
47.52830189,0.443636195,0.082294365,47.1509434,-3.987184051,BCC
43,0.480477241,0.168539159,91.61428571,-4.816326531,BCC
22.88888889,0.254565254,0.067336784,122.3703704,-19.83539095,BCC
48.18181818,0.424314412,0.181117486,91.04545455,-4.826446281,BCC
23.45454545,0.222927191,0.07616614,111.3727273,-17.91735537,BCC
46.27272727,0.468614208,0.082648043,54.05454545,-7.669421488,BCC
48.90909091,0.390228345,0.152930427,45.05454545,0.595041322,BCC
24.58730159,0.192496965,0.084909512,137.6079365,-4.232804233,BCC
44.82608696,0.496730252,0.082849093,62.00869565,-11.55387524,BCC
48.60869565,0.385101827,0.169521013,49.09565217,-0.211720227,BCC
43.5,0.52198759,0.082844929,69.3,-14.77777778,BCC
46.16666667,0.448017204,0.176740379,91.26666667,-4.888888889,BCC
45.83333333,0.459291585,0.185775708,79.3,-4.222222222,BCC
48.33333333,0.380124518,0.180951264,52.8,-0.888888889,BCC
45.16666667,0.457936404,0.085156383,34.91666667,0.777777778,BCC
24.16666667,0.218197131,0.081772102,151.7366667,-5.111111111,BCC
23.69565217,0.221022865,0.076065591,123.9652174,-15.50094518,BCC
24.18181818,0.19935449,0.075154504,118.8272727,-14.38842975,BCC
23.91666667,0.218902976,0.075829365,135.5083333,-13.41666667,BCC
23,0.234943584,0.08317396,130.002,-15.44,BCC
26.33333333,0.064544551,0.061351389,94.8,-4.888888889,FCC
26.66666667,0.046770717,0.091626441,66.17333333,-5.777777778,FCC
26.33333333,0.047362752,0.087529958,59.57333333,-4.444444444,FCC
27,0.030240614,0.01761476,90.3,-1.333333333,FCC
25.5,0.031616697,0.081060698,54.578,-0.96,FCC
26,0.136608241,0.01732462,94.73846154,-11.83431953,FCC
25.92307692,0.147056519,0.041552491,101.5846154,-6.059171598,FCC
26.26,0.044611377,0.080562662,64.6474,-3.5788,FCC
25.91256831,0.055654337,0.083266225,65.7273224,-4.168532951,FCC
26.56756757,0.070846329,0.055917434,147.3783784,3.009495982,FCC
23,0.276693958,0.095909881,187.65,-23.25,FCC
26,0.07195495,0.060233395,75.4,-10.5,FCC
26,0.060813032,0.085999525,73.055,-5.5,FCC
26.25,0.056343617,0.05312934,91.15,-3.75,FCC
26.5,0.042189962,0.07971782,69.68,-4,FCC
26.5,0.068029269,0.051961009,168.725,6.25,FCC
27.5,0.040655781,0.016394718,167.975,5,FCC
27.6119403,0.070131533,0.01662217,167.4706468,5.019677731,FCC
26.46153846,0.121433713,0.056728938,154.5576923,0.118343195,FCC
27.24,0.066103764,0.086143305,182.735,2.0504,FCC
25.92682927,0.096900145,0.055570122,94.70731707,-5.0446163,FCC
