StrainRate,Temp,Strain,Stress
0.001,1298.15,0.05,324.06281
0.001,1323.15,0.05,285.0828
0.001,1348.15,0.05,209.87378
0.001,1398.15,0.05,100.4182
0.001,1423.15,0.05,50.1857
0.001,1448.15,0.05,45.38184
0.01,1298.15,0.05,460.25358
0.01,1323.15,0.05,378.09292
0.01,1348.15,0.05,286.15613
0.01,1398.15,0.05,155.67374
0.01,1423.15,0.05,82.57063
0.01,1448.15,0.05,78.9811
0.05,1298.15,0.05,589.91769
0.05,1323.15,0.05,486.15719
0.05,1348.15,0.05,324.92194
0.05,1398.15,0.05,164.16939
0.05,1423.15,0.05,136.17675
0.05,1448.15,0.05,95.70483
0.1,1298.15,0.05,574.23686
0.1,1323.15,0.05,469.71396
0.1,1348.15,0.05,287.81597
0.1,1398.15,0.05,213.77285
0.1,1423.15,0.05,158.1961
0.1,1448.15,0.05,114.30335
1,1298.15,0.05,751.27279
1,1323.15,0.05,645.24408
1,1348.15,0.05,541.25623
1,1398.15,0.05,321.04194
1,1423.15,0.05,257.70792
1,1448.15,0.05,155.26819
0.001,1298.15,0.1,327.62512
0.001,1323.15,0.1,277.36488
0.001,1348.15,0.1,203.6019
0.001,1398.15,0.1,101.20071
0.001,1423.15,0.1,46.35375
0.001,1448.15,0.1,42.88917
0.01,1298.15,0.1,483.94163
0.01,1323.15,0.1,391.06453
0.01,1348.15,0.1,292.79109
0.01,1398.15,0.1,159.50725
0.01,1423.15,0.1,77.36652
0.01,1448.15,0.1,75.3887
0.05,1298.15,0.1,624.05894
0.05,1323.15,0.1,512.16156
0.05,1348.15,0.1,348.03245
0.05,1398.15,0.1,170.84778
0.05,1423.15,0.1,136.37268
0.05,1448.15,0.1,97.11128
0.1,1298.15,0.1,632.47157
0.1,1323.15,0.1,502.76856
0.1,1348.15,0.1,314.45038
0.1,1398.15,0.1,222.05191
0.1,1423.15,0.1,164.01882
0.1,1448.15,0.1,117.31896
1,1298.15,0.1,783.16838
1,1323.15,0.1,678.97743
1,1348.15,0.1,560.03396
1,1398.15,0.1,334.22128
1,1423.15,0.1,270.08239
1,1448.15,0.1,142.26348
0.001,1298.15,0.2,297.71744
0.001,1323.15,0.2,247.41683
0.001,1348.15,0.2,180.76368
0.001,1398.15,0.2,91.99383
0.001,1423.15,0.2,40.16302
0.001,1448.15,0.2,36.69922
0.01,1298.15,0.2,445.01673
0.01,1323.15,0.2,363.34997
0.01,1348.15,0.2,242.15213
0.01,1398.15,0.2,147.73974
0.01,1423.15,0.2,66.65833
0.01,1448.15,0.2,62.99222
0.05,1298.15,0.2,579.62058
0.05,1323.15,0.2,479.55967
0.05,1348.15,0.2,339.53428
0.05,1398.15,0.2,162.49549
0.05,1423.15,0.2,125.90093
0.05,1448.15,0.2,81.60525
0.1,1298.15,0.2,632.25981
0.1,1323.15,0.2,479.35275
0.1,1348.15,0.2,340.83525
0.1,1398.15,0.2,217.55605
0.1,1423.15,0.2,159.27478
0.1,1448.15,0.2,101.06252
1,1298.15,0.2,754.44377
1,1323.15,0.2,646.40547
1,1348.15,0.2,533.18096
1,1398.15,0.2,333.32963
1,1423.15,0.2,267.49783
1,1448.15,0.2,128.06847
0.001,1298.15,0.3,251.08304
0.001,1323.15,0.3,206.94335
0.001,1348.15,0.3,156.40901
0.001,1398.15,0.3,80.5301
0.001,1423.15,0.3,35.37229
0.001,1448.15,0.3,32.97821
0.01,1298.15,0.3,340.38762
0.01,1323.15,0.3,313.07976
0.01,1348.15,0.3,196.09965
0.01,1398.15,0.3,128.2239
0.01,1423.15,0.3,56.79351
0.01,1448.15,0.3,55.89812
0.05,1298.15,0.3,500.8378
0.05,1323.15,0.3,420.94512
0.05,1348.15,0.3,313.44255
0.05,1398.15,0.3,151.44619
0.05,1423.15,0.3,114.33886
0.05,1448.15,0.3,69.54794
0.1,1298.15,0.3,573.46551
0.1,1323.15,0.3,407.87706
0.1,1348.15,0.3,287.18375
0.1,1398.15,0.3,197.74215
0.1,1423.15,0.3,150.93396
0.1,1448.15,0.3,85.49786
1,1298.15,0.3,686.09751
1,1323.15,0.3,587.55406
1,1348.15,0.3,483.94844
1,1398.15,0.3,319.06736
1,1423.15,0.3,267.98133
1,1448.15,0.3,113.51206
0.001,1298.15,0.4,189.23627
0.001,1323.15,0.4,163.42867
0.001,1348.15,0.4,136.94774
0.001,1398.15,0.4,71.92492
0.001,1423.15,0.4,32.21412
0.001,1448.15,0.4,29.27175
0.01,1298.15,0.4,199.4808
0.01,1323.15,0.4,226.52828
0.01,1348.15,0.4,169.7258
0.01,1398.15,0.4,104.76073
0.01,1423.15,0.4,51.43235
0.01,1448.15,0.4,48.20657
0.05,1298.15,0.4,427.43253
0.05,1323.15,0.4,344.64966
0.05,1348.15,0.4,278.71641
0.05,1398.15,0.4,135.37629
0.05,1423.15,0.4,99.78445
0.05,1448.15,0.4,50.72337
0.1,1298.15,0.4,452.0274
0.1,1323.15,0.4,205.24021
0.1,1348.15,0.4,246.71056
0.1,1398.15,0.4,179.03753
0.1,1423.15,0.4,142.2548
0.1,1448.15,0.4,63.64466
1,1298.15,0.4,617.54963
