Al,Co,Cr,Cu,Fe,Ni,"Hardness, HV"
18.2,9.1,18.2,18.2,18.2,18.2,473
18.2,18.2,9.1,18.2,18.2,18.2,367
18.2,18.2,18.2,18.2,9.1,18.2,418
18.2,18.2,18.2,18.2,18.2,9.1,423
5.3,21.1,21.1,0,26.3,26.3,168
12.5,12.5,12.5,0,12.5,50,225
0,0,25,25,25,25,143
0,5,23.8,23.8,23.8,23.8,146
0,10,22.5,22.5,22.5,22.5,150
0,15,21.3,21.3,21.3,21.3,158
0,33.3,16.7,16.7,16.7,16.7,175
0,25,0,25,25,25,154
0,23.8,5,23.8,23.8,23.8,153
0,22.5,10,22.5,22.5,22.5,158
0,21.3,15,21.3,21.3,21.3,161
0,16.7,33.3,16.7,16.7,16.7,172
0,25,25,25,0,25,183
0,23.8,23.8,23.8,5,23.8,182
0,22.5,22.5,22.5,10,22.5,172
0,21.3,21.3,21.3,15,21.3,171
0,16.7,16.7,16.7,33.3,16.7,157
0,22.5,22.5,22.5,22.5,10,170
0,21.3,21.3,21.3,21.3,15,167
0,16.7,16.7,16.7,16.7,33.3,158
0,26.7,26.7,0,26.7,20,140
0,20,20,0,20,40,125
14.3,14.3,14.3,0,14.3,42.9,242
15.4,15.4,15.4,0,15.4,38.5,265
16.7,16.7,16.7,0,16.7,33.3,335
0,28.3,28.3,0,28.3,15,170
5,31.7,31.7,0,31.7,0,475
10,30,30,0,30,0,620
18.2,18.2,18.2,0,18.2,27.3,503
21.3,21.3,21.3,0,21.3,15,555
22.5,22.5,22.5,0,22.5,10,548
23.8,23.8,23.8,0,23.8,5,615
25,25,25,0,25,0,720
23.8,5,23.8,0,23.8,23.8,550
22.5,10,22.5,0,22.5,22.5,539
16.7,33.3,16.7,0,16.7,16.7,532
23.8,23.8,5,0,23.8,23.8,438
22.5,22.5,10,0,22.5,22.5,476
21.3,21.3,15,0,21.3,21.3,510
16.7,16.7,33.3,0,16.7,16.7,617
25,25,25,0,0,25,712
23.8,23.8,23.8,0,5,23.8,665
22.5,22.5,22.5,0,10,22.5,587
21.3,21.3,21.3,0,15,21.3,558
16.7,16.7,16.7,0,33.3,16.7,510
15,28.3,28.3,0,28.3,0,655
20,26.7,26.7,0,26.7,0,695
40,20,20,0,20,0,775
5.7,18.9,18.9,18.9,18.9,18.9,185
13.8,17.2,17.2,17.2,17.2,17.2,273
20.6,15.9,15.9,15.9,15.9,15.9,475
26.5,14.7,14.7,14.7,14.7,14.7,558
23.1,15.4,15.4,15.4,15.4,15.4,510
31.5,13.7,13.7,13.7,13.7,13.7,603
33.3,13.3,13.3,13.3,13.3,13.3,625
35.9,12.8,12.8,12.8,12.8,12.8,655
37.5,12.5,12.5,12.5,12.5,12.5,735
2.4,24.4,24.4,0,24.4,24.4,118
9.1,22.7,22.7,0,22.7,22.7,127
14.9,21.3,21.3,0,21.3,21.3,338
16.7,20.8,20.8,0,20.8,20.8,382
18.4,20.4,20.4,0,20.4,20.4,527
23.1,19.2,19.2,0,19.2,19.2,479
31,17.2,17.2,0,17.2,17.2,482
14.3,42.9,0,14.3,14.3,14.3,166
20,20,0,20,20,20,536
23.8,4.8,0,23.8,23.8,23.8,531
22.2,11.1,0,22.2,22.2,22.2,545
18.2,27.3,0,18.2,18.2,18.2,366
16.7,33.3,0,16.7,16.7,16.7,249
5.9,23.5,23.5,0,23.5,23.5,110
8.6,22.9,22.9,0,22.9,22.9,131
15.8,21.1,21.1,0,21.1,21.1,388
17.9,20.5,20.5,0,20.5,20.5,538
23.8,19,19,0,19,19,487
3.8,0,19.2,19.2,19.2,38.5,162
5.7,0,18.9,18.9,18.9,37.7,170
7.4,0,18.5,18.5,18.5,37,200
9.1,0,18.2,18.2,18.2,36.4,238
10.7,0,17.9,17.9,17.9,35.7,278
12.3,0,17.5,17.5,17.5,35.1,290
13.8,0,17.2,17.2,17.2,34.5,315
15.3,0,16.9,16.9,16.9,33.9,339
16.7,0,16.7,16.7,16.7,33.3,392
19.4,0,16.1,16.1,16.1,32.3,521
23.1,0,15.4,15.4,15.4,30.8,546
24.2,0,15.2,15.2,15.2,30.3,550
26.5,0,14.7,14.7,14.7,29.4,544
28.6,0,14.3,14.3,14.3,28.6,567
30.6,0,13.9,13.9,13.9,27.8,576
33.3,0,13.3,13.3,13.3,26.7,593
20,0,20,20,20,20,479
21.7,0,21.7,21.7,21.7,13,494
20.8,0,20.8,20.8,20.8,16.7,486
19.2,0,19.2,19.2,19.2,23.1,408
18.5,0,18.5,18.5,18.5,25.9,370
16.7,16.7,16.7,8.3,16.7,25,358
20,20,20,10,10,20,586
16.7,16.7,25,8.3,16.7,16.7,601
15.4,30.8,15.4,7.7,15.4,15.4,295
22.2,22.2,0,11.1,22.2,22.2,584
15.4,15.4,15.4,7.7,15.4,30.8,310
16.7,25,16.7,8.3,16.7,16.7,451
20,20,10,10,20,20,546
15.4,15.4,30.8,7.7,15.4,15.4,607
16.7,16.7,16.7,8.3,25,16.7,537
15.4,15.4,15.4,7.7,30.8,15.4,514
20,20,20,10,20,10,604
22.2,22.2,22.2,11.1,22.2,0,639
22.2,0,22.2,11.1,22.2,22.2,534
30.8,15.4,15.4,7.7,15.4,15.4,609
20,10,20,10,20,20,551
11.1,0,22.2,22.2,22.2,22.2,382
27.3,0,18.2,18.2,18.2,18.2,573
33.3,0,16.7,16.7,16.7,16.7,651
7.7,30.8,0,0,30.8,30.8,135
14.3,28.6,0,0,28.6,28.6,205
20,26.7,0,0,26.7,26.7,380
8,17,17,8,17,33,280
23,15,23,8,15,16,580
16.7,0,55.6,0,0,27.8,371
11.8,0,29.4,0,44.1,14.7,450
6.3,0,31.3,0,46.9,15.6,304
38.5,15.4,15.4,0,15.4,15.4,695
42.9,14.3,14.3,0,14.3,14.3,740
9.1,18.2,18.2,18.2,18.2,18.2,207
28.6,14.3,14.3,14.3,14.3,14.3,576
