Al,Co,Cr,Cu,Fe,Ni
19.95621261,27.0592146,6.483744552,10.3986029,20.91938865,15.18283669
18.54522286,15.0631956,0.486759787,15.73897943,8.525546385,41.64029595
11.8948413,12.5805012,10.38886915,12.36921189,5.215608649,47.55096782
13.10259461,11.54466398,9.460697057,12.26746074,4.37880889,49.24577473
12.87097168,18.41499042,1.58148624,16.86898962,1.881636088,48.38192596
12.81072278,18.50650838,0.726208561,15.56578821,3.083208789,49.30756329
3.487543686,41.69472774,1.098596785,6.115546899,8.307955723,39.29562917
5.68800218,25.26966199,5.963403156,7.63225477,11.6023552,43.8443227
11.17562685,6.913930894,14.16979436,11.60618436,17.44632782,38.68813571
6.513716902,4.868259932,16.46153025,11.46985194,19.84426005,40.84238092
17.78846948,5.14575499,28.15959492,2.238336448,15.61994303,31.04790114
17.55306648,6.180033103,28.38936273,1.379867196,15.16532657,31.33234392
15.28921312,3.371212402,29.18417643,1.862443152,18.49322942,31.79972548
19.96182403,0.766077823,16.36296652,14.94379159,11.74349183,36.22184819
0.922190229,4.392479346,38.7909029,25.35850028,11.10719789,19.42872936
4.750861258,4.198828956,42.65860312,27.34437226,12.97930101,8.068033389
1.62273602,7.862084629,43.49750952,25.69436132,12.49926605,8.824042465
12.26642741,1.010844622,41.3747662,22.17309737,2.183178985,20.99168541
11.89831889,1.058214457,41.26934848,22.2517698,2.468034475,21.0543139
9.593442174,0.392204246,45.61551271,16.8999956,1.220276592,26.27856868
10.3466209,0.189290309,45.87730522,16.09099977,1.410906473,26.08487733
16.48407338,5.50338007,36.8245262,11.43615775,2.078128205,27.67373439
3.349507499,12.87400856,25.39808228,19.7391817,13.87623901,24.76298095
10.31818775,9.371977701,27.06178056,9.574338145,20.62297768,23.05073816
10.11099566,9.611705907,27.17156671,9.611034344,20.5070035,22.98769388
14.10932229,15.14922107,23.84250255,18.07348942,17.70583453,11.11963015
6.547026853,12.3881246,21.74083513,23.45848353,17.19902423,18.66650566
3.520230819,21.90281135,10.48451232,25.57490532,14.90593101,23.61160919
3.868354101,25.73857024,11.16051978,26.8928506,5.901129378,26.43857591
4.30035902,24.27300718,11.56553916,26.08655568,6.123488481,27.65105047
6.386034744,24.66032601,8.552855067,25.11736412,6.992131743,28.29128832
6.415701768,24.60070914,8.483074573,25.23091843,6.962504432,28.30709165
23.00619828,16.25116551,13.58828121,28.14718624,9.363197802,9.643970961
17.74871328,17.63266971,14.37419074,26.24980157,8.714739228,15.27988546
17.55729951,17.52252937,14.57421492,26.21437696,8.868591271,15.26298797
26.80141886,1.005827365,32.24497056,3.804320947,14.33963048,21.80383178
26.52595241,1.195244847,32.05462293,4.124419758,14.08886693,22.01089312
13.16028059,10.89616007,35.67667465,0.292049676,10.83746792,29.13736709
6.000254865,10.15547124,33.83441681,8.573133882,8.585056431,32.85166677
9.335996566,17.15931009,32.07694223,23.05015513,12.17412361,6.203472374
5.855470704,17.74343737,32.90930813,20.3899806,15.99207315,7.109730055
5.159944812,18.21659095,31.922505,21.09098648,16.731714,6.87825876
11.1520386,7.380470036,33.17316382,27.03040947,12.06423021,9.199687867
11.21648053,6.767757843,30.75496177,27.37242156,13.93724534,9.951132956
11.35677137,8.664408209,31.40750744,28.15095855,13.69627819,6.724076244
13.21106482,18.56055563,5.115838651,24.55505685,16.53836995,22.0191141
16.21188208,15.70063911,2.993825835,21.55985641,17.03627731,26.49751925
25.37479433,17.99217322,6.804341435,7.990875466,14.10458994,27.73322562
26.11257134,21.2767362,6.742813951,5.299873045,11.23016693,29.33783853
1.043339496,21.80384994,19.97210328,2.423798828,15.80891887,38.94798958
1.231594433,21.58696606,20.00550346,2.3476118,15.97074831,38.85757593
1.058348633,21.39918698,19.88296916,2.756423554,15.75686534,39.14620634
1.35919911,20.96695826,19.93156422,3.585013974,15.4446287,38.71263574
11.18412529,10.90048539,22.30003068,6.126477625,7.59048565,41.89839537
24.34386362,5.200374211,8.153683801,42.0627328,0.922544942,19.31680062
27.38827099,27.08434233,25.65001943,3.271376811,5.612708608,10.99328183
22.84977185,26.67144958,24.35864688,7.851142651,3.387739693,14.88124934
28.47347268,21.9570634,28.68253565,4.834864273,1.190906804,14.86115719
26.43663609,10.27766471,26.91532354,6.547032962,9.622429599,20.2009131
36.76386478,13.16298865,18.7102861,8.282661155,7.062636441,16.01756288
36.27606261,13.19657687,18.71283482,8.815372836,6.881186164,16.1179667
27.89794784,15.3671436,18.36237957,9.989345185,9.989102504,18.3940813
25.13719235,20.07206335,18.63710161,25.199953,5.448529888,5.505159794
11.95706184,16.5710708,21.17486184,11.7980157,9.559329134,28.9396607
10.81681378,15.39891866,21.37544718,9.630530318,13.49330245,29.28498761
26.27197233,18.31233274,7.561196904,15.52832788,0.164021499,32.16214865
17.86779654,25.34004272,11.46498677,30.45325474,10.44145564,4.432463601
22.23928628,16.60705143,11.55549527,29.33059186,13.69164647,6.575928693
31.93404081,29.35535577,14.93945758,3.464981163,6.87009864,13.43606603
