C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest ,UTS ,TE 
0.1,9.3,0.93,0.11,0.4,0.22,0.094,0,0,0,0.002,1000,60,650,120,25,783,13
0.1,9.3,0.93,0.11,0.4,0.22,0.094,0,0,0,0.002,1000,60,750,120,25,657,15
0.1,9.3,0.95,0.13,0.41,0.23,0,0,0,0.056,0.002,1000,60,650,120,25,698,16
0.1,9.3,0.95,0.13,0.41,0.23,0,0,0,0.056,0.002,1000,60,750,120,25,605,23
0.11,8.7,1,0,0.44,0.19,0.1,0,0,0,0,980,27,760,90,25,660,23.3
0.11,8.7,1,0,0.44,0.19,0.1,0,0,0,0,980,27,760,90,400,511,17.04
0.11,8.7,1,0,0.44,0.19,0.1,0,0,0,0,980,27,760,90,500,433,20.2
0.11,8.7,1,0,0.44,0.19,0.1,0,0,0,0,980,27,760,90,600,309,24.1
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,25,686,17
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,100,612,15.43
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,200,546,15.4
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,250,528,13.53
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,300,502,13.85
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,350,499,12.75
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,400,467,12.2
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,450,463,12.65
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,500,453,12.9
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,550,418,17.7
0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,600,353,18
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,25,655,17.2
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,100,628,18.11
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,200,582,15.88
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,250,560,14.38
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,300,535,14.2
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,350,532,12.32
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,400,500,13.68
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,450,480,14.1
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,500,443,14.68
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,550,404,17.96
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,600,348,22.75
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,25,676,17.4
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,100,618,17.1
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,200,583,16.8
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,250,564,14.2
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,300,542,14.6
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,350,516,15.13
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,400,504,14.35
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,450,471,14.85
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,500,452,15.63
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,550,386,18.24
0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,600,347,19.6
0.12,8.5,1.5,0,0.51,0.25,0.1,0,0,0,0.0067,980,45,740,90,25,679,21.6
0.11,8.55,1.48,0,0.51,0.25,0.1,0,0,0,0.025,980,45,740,90,25,671,22
0.11,8.86,2.07,0.05,0.5,0.24,0.11,0,0,0,0,1050,60,750,120,25,659,23
0.11,8.86,2.07,0.05,0.5,0.24,0.11,0,0,0,0,1050,60,750,120,500,431,23.5
0.11,8.86,2.07,0.05,0.5,0.24,0.11,0,0,0,0,1050,60,750,120,550,375,27
0.11,8.86,2.07,0.05,0.5,0.24,0.11,0,0,0,0,1050,60,750,120,600,327,30
0.11,8.86,2.07,0.05,0.5,0.24,0.11,0,0,0,0,1050,60,750,120,650,260.6,34
0.12,8.79,2.01,0.22,0.52,0.24,0.11,0,0,0,0,1050,60,750,120,25,680,23
0.12,8.79,2.01,0.22,0.52,0.24,0.11,0,0,0,0,1050,60,750,120,500,444,24.4
0.12,8.79,2.01,0.22,0.52,0.24,0.11,0,0,0,0,1050,60,750,120,550,369,28
0.12,8.79,2.01,0.22,0.52,0.24,0.11,0,0,0,0,1050,60,750,120,600,323,30.3
0.12,8.79,2.01,0.22,0.52,0.24,0.11,0,0,0,0,1050,60,750,120,650,260.6,34.14
0.12,8.84,2.05,0.77,0.51,0.24,0.11,0,0,0,0,1050,60,750,120,25,730,23
0.12,8.84,2.05,0.77,0.51,0.24,0.11,0,0,0,0,1050,60,750,120,500,466,28.36
0.12,8.84,2.05,0.77,0.51,0.24,0.11,0,0,0,0,1050,60,750,120,550,385,31.34
0.12,8.84,2.05,0.77,0.51,0.24,0.11,0,0,0,0,1050,60,750,120,600,336,38.47
0.12,8.84,2.05,0.77,0.51,0.24,0.11,0,0,0,0,1050,60,750,120,650,256,42.37
0.11,9.4,1.35,0.05,0.46,0.22,0.071,0,0.006,0,0.0023,1050,30,750,90,25,699,16.2
0.11,9.4,1.35,0.05,0.46,0.22,0.071,0,0.006,0,0.0023,1050,30,750,90,300,567,15.1
0.11,9.4,1.35,0.05,0.46,0.22,0.071,0,0.006,0,0.0023,1050,30,750,90,500,469,17.5
0.11,9.4,1.35,0.05,0.46,0.22,0.071,0,0.006,0,0.0023,1050,30,750,90,600,336,19.6
0.11,9.4,1.35,0.05,0.46,0.22,0.071,0,0.006,0,0.0023,1050,30,750,90,650,275,23.5
0.11,9.4,1.35,0.05,0.45,0.21,0.073,0,0.036,0,0.0022,1050,30,750,90,25,718,17.4
0.11,9.4,1.35,0.05,0.45,0.21,0.073,0,0.036,0,0.0022,1050,30,750,90,300,583,16.7
0.11,9.4,1.35,0.05,0.45,0.21,0.073,0,0.036,0,0.0022,1050,30,750,90,500,486,19.2
0.11,9.4,1.35,0.05,0.45,0.21,0.073,0,0.036,0,0.0022,1050,30,750,90,600,354,23.2
0.11,9.4,1.35,0.05,0.45,0.21,0.073,0,0.036,0,0.0022,1050,30,750,90,650,276,25.6
0.11,9.4,1.35,0.05,0.45,0.22,0.071,0,0.071,0,0.0022,1050,30,750,90,25,663,23.2
0.11,9.4,1.35,0.05,0.45,0.22,0.071,0,0.071,0,0.0022,1050,30,750,90,300,500,21.5
0.11,9.4,1.35,0.05,0.45,0.22,0.071,0,0.071,0,0.0022,1050,30,750,90,500,406,23.1
0.11,9.4,1.35,0.05,0.45,0.22,0.071,0,0.071,0,0.0022,1050,30,750,90,600,310,25.5
0.11,9.4,1.35,0.05,0.45,0.22,0.071,0,0.071,0,0.0022,1050,30,750,90,650,254,27.6
0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,25,625,15.7
0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,200,522,14.2
0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,300,497,13.3
0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,400,468,12
0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,500,416,13.5
0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,600,328,16
0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0,0.0032,1050,30,750,90,25,684.6,23.6
0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0,0.0032,1050,30,750,90,300,541,12.8
0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0,0.0032,1050,30,750,90,550,391,16.3
0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0,0.0032,1050,30,750,90,600,335,18.1
0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0,0.0032,1050,30,750,90,650,258,25.8
0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,25,743.5,25.2
0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,300,575,13
0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,500,472,15.7
0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,550,415,16.47
0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,600,349,18.6
0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,650,260,25.2
0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,25,697.9,26.4
0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,300,555,13.5
0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,500,461,16.1
0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,550,409,17.6
0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,600,340,20.8
0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,650,260,26.3
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,15,765,90,25,687,17.2
0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,15,765,90,200,583,15.8
