Cu,Sn,Zn,Ni,Pb,P,Mg
90,0,10,0,0,0,0
87.5,0,12.5,0,0,0,0
85,0,15,0,0,0,0
80,0,20,0,0,0,0
70,0,30,0,0,0,0
65,0,35,0,0,0,0
95,1,4,0,0,0,0
95,2,3,0,0,0,0
91,0.5,8.5,0,0,0,0
87.5,11.4,1.1,0,0,0,0
64.5,0,33.5,0,0.2,0,0
85,0.7,14.3,0,0,0,0
94.8,5,0,0,0,0.2,0
95.6,4.2,0,0,0,0.2,0
92,8,0,0,0,0,0
88,4,4,0,4,0,0
65,0,25,10,0,0,0
65,0,20,15,0,0,0
62,0,36.2,0,1.8,0,0
81,0.9,18.1,0,0,0,0
65,0,34,0,1,0,0
88.5,2,9.5,0,0,0,0
65,0,23,12,0,0,0
65.8,0,34.1,0,0.1,0,0
62.5,0,36.4,0,1.1,0,0
66,0,32.4,0,1.6,0,0
99.6,0,0,0,0,0,0.4
