C,Cr,Ni,Mo,Mn,V,Nb,Si,W,Ta,N,Al,CO(wt%),TOL(μm)
0.084,8.34,0.28,0,0.375,0.18,0.074,0.385,0,0,0.048,0.015,2.50E-05,30
0.084,8.34,0.28,0,0.375,0.18,0.074,0.385,0,0,0.048,0.015,4.40E-08,5
0.13,8.1,0.99,0,0.52,0.2,0.074,1.45,0,0,0.054,0.003,2.50E-05,12
0.13,8.1,0.99,0,0.52,0.2,0.074,1.45,0,0,0.054,0.003,4.40E-08,6.5
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06,9.59
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07,5.23
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08,4.31
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06,16.9
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07,7.35
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08,5.95
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06,20.5
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07,8.2
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08,7.3
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,0
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,0
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,0
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,0
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,11.95
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06,17.29
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,30.47
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,11.43
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,17.21
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,30.89
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0,5.5
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,8.6
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,14
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,30
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,41
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0,2.5
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,6.1
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,10
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,18
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,22
0.1,9.03,0.36,0.88,0.47,0.18,0.08,1.95,0,0,0.058,0,0,1.3
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0,4.9
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0,8
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0,13
0.1,8.45,0.17,0.92,0.46,0.2,0.04,0.26,0,0,0,0,0,15
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,31.867
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,52.196
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,66.823
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,105.663
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,20.4
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,36.29
0.1,8.37,0.2,0.91,0,0,0,0.28,0,0,0.048,0.021,1.38E-03,47.26
