C,Cr,Ni,Mo,Mn,V,Nb,Si,W,Ta,N,Al,CO(wt%)
0.084,8.34,0.28,0,0.375,0.18,0.074,0.385,0,0,0.048,0.015,2.50E-05
0.084,8.34,0.28,0,0.375,0.18,0.074,0.385,0,0,0.048,0.015,4.40E-08
0.13,8.1,0.99,0,0.52,0.2,0.074,1.45,0,0,0.054,0.003,2.50E-05
0.13,8.1,0.99,0,0.52,0.2,0.074,1.45,0,0,0.054,0.003,4.40E-08
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-06
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-07
0.099,9.25,0.25,0.85,0.44,0.19,0.067,0.2,0,0,0.05,0,1.00E-08
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.56,9.99,0,0,0.58,0.28,0,0.02,0.3,0.02,0,0,8.00E-06
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,9.05,0.35,0.88,0.49,0.19,0.08,0.48,0,0,0.059,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
0.1,8.97,0.37,0.89,0.47,0.2,0.08,1.3,0,0,0.06,0,0
