Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,PassengerId,Pclass,Age,SibSp,Parch,Fare,Survived
0,1,0,0,1,1,3,22,1,0,7.25,0
1,0,1,0,0,2,1,38,1,0,71.2833,1
1,0,0,0,1,3,3,26,0,0,7.925,1
1,0,0,0,1,4,1,35,1,0,53.1,1
0,1,0,0,1,5,3,35,0,0,8.05,0
0,1,0,1,0,6,3,29.69911765,0,0,8.4583,0
0,1,0,0,1,7,1,54,0,0,51.8625,0
0,1,0,0,1,8,3,2,3,1,21.075,2
1,0,0,0,1,9,3,27,0,2,11.1333,2
1,0,1,0,0,10,2,14,1,0,30.0708,2
1,0,0,0,1,11,3,4,1,1,16.7,2
1,0,0,0,1,12,1,58,0,0,26.55,2
0,1,0,0,1,13,3,20,0,0,8.05,2
0,1,0,0,1,14,3,39,1,5,31.275,2
1,0,0,0,1,15,3,14,0,0,7.8542,2
1,0,0,0,1,16,2,55,0,0,16,2
0,1,0,1,0,17,3,2,4,1,29.125,2
0,1,0,0,1,18,2,29.69911765,0,0,13,2
1,0,0,0,1,19,3,31,1,0,18,2
1,0,1,0,0,20,3,29.69911765,0,0,7.225,2
0,1,0,0,1,21,2,35,0,0,26,2
0,1,0,0,1,22,2,34,0,0,13,2
1,0,0,1,0,23,3,15,0,0,8.0292,2
0,1,0,0,1,24,1,28,0,0,35.5,2
1,0,0,0,1,25,3,8,3,1,21.075,2
1,0,0,0,1,26,3,38,1,5,31.3875,2
0,1,1,0,0,27,3,29.69911765,0,0,7.225,2
0,1,0,0,1,28,1,19,3,2,263,2
1,0,0,1,0,29,3,29.69911765,0,0,7.8792,2
0,1,0,0,1,30,3,29.69911765,0,0,7.8958,2
0,1,1,0,0,31,1,40,0,0,27.7208,2
1,0,1,0,0,32,1,29.69911765,1,0,146.5208,2
1,0,0,1,0,33,3,29.69911765,0,0,7.75,2
0,1,0,0,1,34,2,66,0,0,10.5,2
0,1,1,0,0,35,1,28,1,0,82.1708,2
0,1,0,0,1,36,1,42,1,0,52,2
0,1,1,0,0,37,3,29.69911765,0,0,7.2292,2
0,1,0,0,1,38,3,21,0,0,8.05,2
1,0,0,0,1,39,3,18,2,0,18,2
1,0,1,0,0,40,3,14,1,0,11.2417,2
1,0,0,0,1,41,3,40,1,0,9.475,2
1,0,0,0,1,42,2,27,1,0,21,2
0,1,1,0,0,43,3,29.69911765,0,0,7.8958,2
1,0,1,0,0,44,2,3,1,2,41.5792,2
1,0,0,1,0,45,3,19,0,0,7.8792,2
0,1,0,0,1,46,3,29.69911765,0,0,8.05,2
0,1,0,1,0,47,3,29.69911765,1,0,15.5,2
1,0,0,1,0,48,3,29.69911765,0,0,7.75,2
0,1,1,0,0,49,3,29.69911765,2,0,21.6792,2
1,0,0,0,1,50,3,18,1,0,17.8,2
0,1,0,0,1,51,3,7,4,1,39.6875,2
0,1,0,0,1,52,3,21,0,0,7.8,2
1,0,1,0,0,53,1,49,1,0,76.7292,2
1,0,0,0,1,54,2,29,1,0,26,2
0,1,1,0,0,55,1,65,0,1,61.9792,2
0,1,0,0,1,56,1,29.69911765,0,0,35.5,2
1,0,0,0,1,57,2,21,0,0,10.5,2
0,1,1,0,0,58,3,28.5,0,0,7.2292,2
1,0,0,0,1,59,2,5,1,2,27.75,2
0,1,0,0,1,60,3,11,5,2,46.9,2
